id,slug,name,kind,expectedCategory,actualCategoryIds,status
burgersRestaurants_49b08b8052e0,birdman-49b0,Birdman,restaurant,burgers,burgers,OK
burgersRestaurants_51cd3df73f20,mpar-mpee-kioy-freattyda-51cd,Μπαρ Μπεε Κιου - Φρεαττύδα,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_535690910e30,broz-skg-burger-house-5356,Broz.Skg burger house,restaurant,burgers,burgers,OK
burgersRestaurants_54aa085a6ef8,sinners-smash-burgers-54aa,Sinners Smash Burgers,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_57ae2704265c,austin-smokehouse-bbq-57ae,Austin smokehouse bbq,restaurant,burgers,burgers,OK
burgersRestaurants_594f0da03951,the-smashers-athens-594f,The Smashers Athens,restaurant,burgers,burgers,OK
burgersRestaurants_5cdf5651be04,dunk-smash-burgers-5cdf,Dunk Smash Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_5f190c7a3636,jazz-burger-bar-neo-irakleio-5f19,Jazz Burger Bar Νέο Ηρακλειο,restaurant,burgers,burgers,OK
burgersRestaurants_61f30a1a8896,arch-beer-house-61f3,Arch Beer House,restaurant,burgers,burgers|greek-restaurants,OK
burgersRestaurants_6bb98587ed95,four-hands-6bb9,Four Hands,restaurant,burgers,burgers,OK
burgersRestaurants_6d610eb79dbd,taz-smash-burger-6d61,Taz Smash Burger,restaurant,burgers,burgers,OK
burgersRestaurants_6f8117fa6f13,brothers-in-law-6f81,Brothers in Law,restaurant,burgers,burgers,OK
burgersRestaurants_709666ea6902,akoko-athens-7096,Akoko Athens,restaurant,burgers,burgers,OK
burgersRestaurants_72777d81b2c1,cadillac-burgers-7277,Cadillac Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_73735eff606b,meat-n-roses-kolonaki-7373,Meat n Roses Kolonaki,restaurant,burgers,burgers,OK
burgersRestaurants_73788d5c5e26,street-habit-burgers-sandwiches-7378,Street Habit Burgers & Sandwiches,restaurant,burgers,burgers,OK
burgersRestaurants_7709ed422386,raw-street-burger-thessaloniki-7709,Raw Street Burger - Thessaloniki,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_797126963f1f,amam-estiatorio-glyfada-7971,ΑΜΑΜ - ΕΣΤΙΑΤΟΡΙΟ - ΓΛΥΦΑΔΑ,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_7a76471a6430,nob-burger-7a76,nob.burger,restaurant,burgers,burgers,OK
burgersRestaurants_7bcb47e330c5,tryfonas-kempaptzidikon-hamburgerie-7bcb,Τρύφωνας Κεμπαπτζίδικoν - Hamburgerie,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_7bf76fbc7d0a,burgler-7bf7,Burgler,restaurant,burgers,burgers,OK
burgersRestaurants_7c38d294a0a4,pax-burgers-chalandri-7c38,PAX Burgers Chalandri,restaurant,burgers,burgers,OK
burgersRestaurants_7c6e8e764472,the-smashers-athens-7c6e,The Smashers Athens,restaurant,burgers,burgers,OK
burgersRestaurants_7e2f237c9f2e,juicygrill-athens-downtown-7e2f,juicygrill_Athens (downtown),restaurant,burgers,burgers,OK
burgersRestaurants_7ee34e05dcb7,x11-burgers-7ee3,X11 Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_8219677fe965,nom-street-food-smashed-burgers-8219,Nom street food & smashed burgers,restaurant,burgers,burgers,OK
burgersRestaurants_82d2f41d9265,big-nick-82d2,Big Nick,restaurant,burgers,burgers|vegetarian,OK
burgersRestaurants_83b3a5ac6b77,parco-83b3,Parco,restaurant,burgers,burgers|coffee-brunch,OK
burgersRestaurants_8809fdd68e04,jokerman-8809,JOKERMAN,restaurant,burgers,burgers,OK
burgersRestaurants_8a735b95eb4f,paul-s-burger-8a73,Paul’s Burger,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_8f11f76e2e42,maverick-handmade-street-food-8f11,MAVERICK Handmade Street Food,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_90d16bd5f050,pratina-burger-project-90d1,PRATINA Burger Project,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_95cc953a5a70,con-voi-brunch-burgers-cocktails-95cc,Con Voi Brunch - Burgers & Cocktails,restaurant,burgers,burgers,OK
burgersRestaurants_969f5f3e5d25,epos-burgers-chalandri-969f,Epos Burgers Chalandri,restaurant,burgers,burgers,OK
burgersRestaurants_96fe4c6a69f2,stivs-a-e-kerameikos-champoyrgker-pitses-96fe,ΣΤΗΒΣ Α.Ε. Κεραμεικός - ΧΑΜΠΟΥΡΓΚΕΡ & ΠΙΤΣΕΣ,restaurant,burgers,burgers|italian,OK
burgersRestaurants_96feec737ac7,brothers-in-law-96fe,Brothers In Law,restaurant,burgers,burgers,OK
